stop_id,stop_name,stop_lat,stop_lon,routes,daily_trips,mean_lst_c,pct_green,pct_no_vehicle,pct_65_plus,shelter_status,lst_percentile,shelter_factor,social_vulnerability,shade_need,shade_need_rank,top20_shade_need
1014,Allstate Insurance,29.687731,-82.389071,43,14,41.65768432617188,46.0,17.254556143445033,28.263455248290214,none,0.8943488943488943,1.5,1.3044316816922739,0.945,29,False
1221,Eastbound NW 23rd Avenue @ NW 13th Street,29.673891,-82.33804,6,14,42.94181780133928,14.2,14.08811475409836,9.192399049881235,none,0.9459459459459459,1.5,0.7735085653697422,0.9417,30,False
1305,Best Buy @ Butler Plaza,29.621519,-82.380752,37,52,45.22605387369792,4.5,15.617875056999544,3.28125,none,0.995085995085995,1.5,0.659457471171747,0.94,31,False
373,Furniture Kingdom,29.674086,-82.340774,8,16,43.281710379464286,5.4,5.620753551575047,12.678288431061809,none,0.961916461916462,1.5,0.6885985563917822,0.9399,32,False
985,Thorn Brook Shops,29.675062,-82.388855,43,14,40.581642150878906,29.6,7.312925170068027,27.624720774385704,none,0.8144963144963145,1.5,1.0888165256526365,0.9365,33,False
1027,Best Buy @ Butler Plaza,29.621328,-82.380919,37,54,45.75497817993164,5.5,15.617875056999544,3.28125,none,0.9975429975429976,1.5,0.659457471171747,0.9325,34,False
1552,Circle K @ Newberry/Tower Road,29.659585,-82.422572,23,25,42.273304658777576,8.3,0.4123711340206186,18.689934243803744,none,0.9262899262899262,1.5,0.7311198073999927,0.9315,35,False
100,GTEC,29.646204,-82.29622,3,14,41.8827482524671,35.3,12.61942675159236,21.483491632745363,none,0.9090909090909091,1.5,1.0450941088021732,0.9221,36,False
199,Keene Flint Hall,29.651982,-82.344247,"5,43",34,42.41888427734375,25.3,30.48780487804878,0.0114639458901753,none,0.9324324324324325,1.5,0.8784434820109817,0.9178,37,False
439,NW 13th St @ Nearside NW 3rd Pl Southbound,29.654477,-82.339359,"8,10,13",99,44.54590606689453,1.6,6.52607580507267,9.155578975102095,none,0.9864864864864865,1.5,0.6205032915387877,0.9035,38,False
26,Whole Foods @ Butler Town Center,29.625604,-82.374394,1,42,43.916940400094695,6.3,15.617875056999544,3.28125,none,0.9742014742014742,1.5,0.659457471171747,0.903,39,False
28,Bonefish Grill Seafood Restaurant @ Butler Plaza,29.624804,-82.377613,1,42,44.215850830078125,6.7,15.617875056999544,3.28125,none,0.9766584766584766,1.5,0.659457471171747,0.9014,40,False
369,CVS @ NW 13th Street,29.6664,-82.339045,8,16,45.16706431995738,21.8,14.08811475409836,9.192399049881235,none,0.9926289926289926,1.5,0.7735085653697422,0.9006,41,False
2,Hampton Inn Hotel,29.650346,-82.323804,1,42,40.1463134765625,5.1,10.72961373390558,13.34805299076676,none,0.7751842751842751,1.5,0.8077673645254027,0.8914,42,False
364,Publix @ NW 13th St and W Univ Ave,29.653749,-82.339079,"8,10,13",96,44.46278599330357,2.5,21.14384748700173,1.9492808478425436,unknown,0.9852579852579852,1.25,0.7379744271417619,0.8861,43,False
440,North 13th Street @ NW 1st Avenue,29.652932,-82.339365,"8,13",79,43.60009047564338,2.5,6.52607580507267,9.155578975102095,none,0.9692874692874693,1.5,0.6205032915387877,0.8796,44,False
1254,Gator Corner Dining Facility @ Gale Lemerand,29.648167,-82.349618,"9,12,33,38,118",248,43.1219482421875,30.6,30.48780487804878,0.0114639458901753,none,0.9545454545454546,1.5,0.8784434820109817,0.8729,45,False
57,Hippodrome Theatre,29.650203,-82.324144,1,43,39.94054845861486,5.4,10.72961373390558,13.34805299076676,none,0.7518427518427518,1.5,0.8077673645254027,0.8618,46,False
